aequus, a, um	equal, fair
albus, a, um	white
altus, a, um	tall, high, deep
amicus, a, um	friendly
amplus, a, um	ample
antiquus, a, um	old, ancient
anxius, a, um	nervous, anxious
apertus, a, um	open
aureus, a, um	golden
bonus, a, um	good
calidus, a, um	hot
certus, a, um	certain, sure
clarus, a, um	bright, clear, famous
cupidus, a, um	eager, desirous
defessus, a, um	tired
dexter, dextra, dextrum	right, right-handed
diversus, a, um	different, turned apart
dubius, a, um	doubtful
durus, a, um	hard, lasting
ferus, a, um	wild, savage
fidus, a, um	loyal
finitimus, a, um	neighboring
frigidus, a, um	cold
frumentarius, a, um	pertaining to grain
gratus, a, um	thankful
idoneus, a, um	suitable
imparatus, a, um	unprepared
incertus, a, um	uncertain
iustus, a, um	just
laetus, a, um	happy
latus, a, um	wide
longus, a, um	long
magnus, a, um	big, great, large
malus, a, um	bad
maximus, a, um	greater, great
medius, a, um	middle
meus, a, um	mine, my
minimus, a, um	least, smallest
mirus, a, um	wonderful, strange
miser, misera, miserum	sad, wretched
mortuus, a, um	dead
multus, a, um	much, many
necessarius, a, um	necessary
noster, nostra, nostrum	our, ours
novus, a, um	new
parvus, a, um	small
plenus, a, um	full
tuus, a, um	your
