manus -us f. 	hand; band of men
domus -us f. 	house, home
vultus -us m. 	look, expression, face
metus -us m. 	fear, dread
exercitus -us m. 	army
senatus -us m. 	senate
casus -us m. 	a fall; chance, accident
cursus -us m. 	course, advance
impetus -us m. 	attack
usus -us m. 	use, experience
sinus -us m. 	fold of a garment; lap, bay, gulf
currus -us m. 	chariot
fluctus -us m 	flood, billow, surf
gradus -us m. 	step, pace; grade, rank
cornu -us n. 	horn
spiritus -us m. 	breath, life, spirit
sensus -us m. 	feeling, emotion, sense
ictus -us m. 	blow, stroke
fructus -us m. 	fruit, crops; enjoyment, delight
