yesterday	heri
today	hodie
tomorrow	cras
now	nunc
then	tunc
later	postea
already	iam
recently	nuper
lately	tarde
soon	cito
immediately	statim
still	etiam
yet	etiamnunc
ago	abhinc
here	hic
there	illic
over there	illac
everywhere	undique
anywhere	usquam
nowhere	nusquam
home	domus
away	longe
out	foris
very	valde
quite	satis
pretty	satis
really	vere
fast	velox
well	recte
hard	difficilis
quickly	velociter
slowly	sensim
carefully	diligenter
hardly	aegre
barely	vix
mostly	plerumque
almost	fere
absolutely	absolute
together	una
alone	unus
always	semper
frequently	saepe
usually	solite
sometimes	interdum
occasionally	aliquando
seldom	rare
rarely	rare
never	numquam
not	non
finally	tandem
previously	pridem
indeed	quidem
only	non_modo
near	prope
then	tum
