fero	ferre	tuli	latus	bear, speak
adfero	adferre	attuli	allatus	bring forth
paro	parare	paravi	paratum	prepare
moneo	monere	monui	monitum	warn
rego	regere	rexi	rectum	rule
capio	capere	cepi	captum	seize
audio	audire	audivi	auditum	hear
conor	conari	conatum sum	-	attempt
fateor	fateri	fassum sum	-	confess
sequor	sequi	secutum sum	-	follow
patior	pati	passum sum	-	endure
molior	moliri	molitum sum	-	work at
hortor	hortari	hortatum sum	-	urge
loquor	loqui	locutum sum	-	speak
labor	labi	lapsum sum	-	glide
caedo	caedere	cecidi	caesum	-	cut
servio	servire	servivi	servitum	serve
effreno	effrenare	effrenavi	effrenatum	unbridle
rapio	rapere	rapui	raptum	snatch, hasten
pario	parere	peperi	partum	produce
exerceo	exercere	exercui	exercitum	drive, work
utor	uti	usus sum	-	use
perdo	perdere	perdidi	perditum	destroy?waste?lose
amo	amare	amavi	amatum	love
cogito	cogitare	cogitavi	cogitatum	consider
debeo	debere	debui	debitum	ought, hesitate
do	dare	dedi	datum	give
eo	ire	ivi	itus	go
abeo	abire	abivi	abitus	leave
erro	errare	erravi	erratum	wander
laudo	laudare	laudavi	laudatum	praise
salveo	salvere	-	-	be healthy
servo	servare	servavi	servatum	save, preserve
conservo	conservare	conservavi	conservatum	conserve
terreo	terrere	terrui	territum	frighten
valeo	valere	valui	valiturum	be strong
video	videre	vidi	visum	see
voco	vocare	vocavi	vocatum	call
habeo	habere	habui	habitum	have, hold
satio	satiare	satiavi	satiatum	satisfy
iuvo	iuvare	iuvi	iutum	help
ceno	cenare	cenavi	cenatum	dine
culpo	culpare	culpavi	culpatum	blame
maneo	manere	mansi	mansum	remain
supero	superare	superavi	superatum	surpass
possum	posse	potui	-	be able
sum	esse	fui	-	be
absum	abesse	abfui	-	be away
tolero	tolerare	toleravi	toleratum	tolerate
audeo	audere	ausum sum	-	dare
neco	necare	necavi	necatum	kill
ago	agere	egi	actum	do
demonstro	demonstrare	demonstravi	demonstratum	demonstrate
disco	discere	didici	-	learn
doceo	docere	docui	doctum	teach
duco	ducere	duxi	ductum	lead
gero	gerere	gessi	gestum	accomplish
scribo	scribere	scripsi	scriptum	write
traho	trahere	traxi	tractum	drag
vinco	vincere	vici	victum	conquer
dico	dicere	dixi	dictum	speak
facio	facere	feci	factum	make
fugio	fugere	fugi	fugiturum	flee
venio	venire	veni	ventum	come
invenio	invenire	inveni	inventum	find
vivo	vivere	vixi	victum	live
intellego	intellegere	intellexi	intellectum	understand
mitto	mittere	misi	missum	send
sentio	sentire	sensi	sensum	sense
amitto	amittere	amisi	amissum	lose
cado	cadere	cecidi	casum	fall
creo	creare	creavi	creatum	create
alo	alere	alui	altum	nourish
diligo	diligere	dilexi	dilectum	esteem
iungo	iungere	iunxi	iunctum	join
sto	stare	steti	statum	stand
appello	appellare	appellavi	appellatum	call (name)
curro	currere	cucurri	cursum	run
muto	mutare	mutavi	mutatum	change
teneo	tenere	tenui	tentum	hold
vito	vitare	vitavi	vitatum	avoid
committo	committere	commisi	commissum	entrust
exspecto	exspectare	exspectavi	exspectatum	wait for
iacio	iacere	ieci	iectum	throw, hurl
eicio	eicere	eieci	eiectum	throw out
timeo	timere	timui	-	be afraid
admitto	admittere	admisi	admissum	receive
-	coepisse	coepi	coeptum	begin
cupio	cupere	cupivi	cupitum	desire
deleo	delere	delevi	deletum	erase
desidero	desiderare	desideravi	desideratum	desire
incipio	incipere	incepi	inceptum	begin
navigo	navigare	navigavi	navigatum	navigate
neglego	neglegere	neglexi	neglectum	neglect
recito	recitare	recitavi	recitatum	recite
fluo	fluere	fluxi	fluxum	flow
lego	legere	legi	lectum	choose, read
misceo	miscere	miscui	mixtum	mix
moveo	movere	movi	motum	move
delecto	delectare	delectavi	delectatum	please
libero	liberare	liberavi	liberatum	free
careo	carere	carui	cariturum	be free (from)
defendo	defendere	defendi	defensum	defend
discedo	discedere	discessi	discessum	depart
-	odisse	odi	-	hate
prohibeo	prohibere	prohibui	prohibitum	prohibit
pronuntio	pronuntiare	pronuntiavi	pronuntiatum	proclaim
contineo	continere	continui	contentum	contain
iubeo	iubere	iussi	iussum	order
laboro	laborare	laboravi	laboratum	work
relinquo	relinquere	reliqui	relictum	leave
scio	scire	scivi	scitum	know
tango	tangere	tetigi	tactum	touch
cerno	cernere	crevi	cretum	discern
eripio	eripere	eripui	ereptum	snatch away
inquit	inquiunt	-	-	he said
tollo	tollere	sustuli	sublatum	lift, destroy
educo	educare	educavi	educatum	educate
gaudeo	gaudere	gavisum sum	-	rejoice
ostendo	ostendere	ostendi	ostentum	display
peto	petere	petivi	petitum	aim at, attack
premo	premere	pressi	pressum	press
opprimo	opprimere	oppressi	oppressum	suppress
verto	vertere	verti	versum	turn, change
accipio	accipere	accepi	acceptum	accept
excipio	excipere	excepi	exceptum	capture
recipio	recipere	recepi	receptum	take back
pello	pellere	pepuli	pulsum	strike
expello	expellere	expuli	expulsum	drive out
narro	narrare	narravi	narratum	report
quaero	quaerere	quaesivi	quaesitum	look for
rideo	ridere	risi	risum	laugh
ait	aiunt	-	-	he says
credo	credere	credidi	creditum	believe
iaceo	iacere	iacui	iacitum	lie
nego	negare	negavi	negatum	deny
nescio	nescire	nescivi	nescitum	be ignorant
nuntio	nuntiare	nuntiavi	nuntiatum	report
patefacio	patefacere	patefeci	patefactum	reveal
puto	putare	putavi	putatum	think
spero	sperare	speravi	speratum	hope
suscipio	suscipere	suscepi	susceptum	undertake
invito	invitare	invitavi	invitatum	invite
pono	ponere	posui	positum	place
probo	probare	probavi	probatum	approve
cedo	cedere	cessi	cessum	go, yield
dedico	dedicare	dedicavi	dedicatum	dedicate
egeo	egere	egui	-	lack
expleo	explere	explevi	expletum	fill
praesto	praestare	praestiti	praestitum	excel
taceo	tacere	tacui	tacitum	be silent
condo	condere	condidi	conditum	establish
contendo	contendere	contendi	contenditum	strive, hasten
mollio	mollire	mollivi	mollitum	soften
pugno	pugnare	pugnavi	pugnatum	fight
respondeo	respondere	respondi	responsum	answer
surgo	surgere	surrexi	surrectum	arise
bibo	bibere	bibi	bibitum	drink
cognosco	cognoscere	cognovi	cognitum	recognize
comprehendo	comprehendere	comprehendi	comprehensum	understand
consumo	consumere	consumpsi	consumptum	consume
dubito	dubitare	dubitavi	dubitatum	doubt, hesitate
expono	exponere	exposui	expositum	set forth
minuo	minuere	minui	minutum	diminish
rogo	rogare	rogavi	rogatum	ask
nosco	noscere	novi	notum	know
-	meminisse	memini	-	remember
fido	fidere	fisum sum	-	trust
pateo	patere	patui	-	lie open
placet	-	-	-	be pleasing
opportet	-	-	-	be proper
licet	-	-	-	be permitted
decerno	decernere	decrevi	decretum	decree
occido	occidere	occidi	occasum	fall
occido	occidere	occidi	occisum	kill
detero	deterere	detrivi	detritum	weaken
intercedo	intercedere	intercessi	intercessum	intercede/interrupt
interficio	interficere	interfeci	interfectum	kill
suspicio	suspicere	suspexi	suspectum	suspect
libo	libare	libavi	libatum	spill/dedicate
