animus -i m. 	spirit, mind
deus -i m.; dea -ae f. 	god; goddess
locus -i m. 	place; loca (n. pl.) region
vir viri m. 	man
bellum -i n. 	war
arma -orum n. pl. 	arms, weapons
caelum -i n. 	sky, heavens
regnum -i n. 	kingship, kingdom
populus -i m. 	people
fatum -i n. 	fate; death
annus -i m. 	year
beneficium -i n. 	service, kindness
verbum -i n. 	word
puer pueri m. 	boy; slave
modus -i m. 	measure, manner, kind
imperium -i n. 	command, power
oculus -i m. 	eye
natus -i m. 	son
consilium -i n. 	plan; council, group of advisors
castrum -i n. 	fortress, (regularly plural, castra camp)
ferrum -i n. 	iron, iron weapon or implement
dominus -i m.; domina -ae f. 	household master, lord; mistress
equus -i m. 	horse
telum -i n. 	missile, weapon, spear
signum -i n. 	sign, standard, mark
periculum -i n. 	danger
ventus -i m. 	wind
aurum -i n. 	gold
saxum -i n. 	rock, cliff, crag
ager agri m. 	field
vitium -i n. 	flaw, fault, crime
votum -i n. 	solemn promise, vow; hope
iugum -i n. 	yoke; ridge, chain of hills
numerus -i m. 	number, amount
proelium -i n. 	battle
mundus -i m. 	world, universe, heavens
tectum -i n. 	roof; building, house
ingenium -i n. 	disposition, ability, talent
campus -i m. 	plain, field
spatium -i n. 	space
somnus -i m. 	sleep, slumber; (pl.) dreams
studium -i n. 	eagerness, zeal
legatus -i m. 	lieutenant, envoy
tergum -i n. 	back, rear; a tergo: from the rear
donum -i n. 	gift, present
membrum -i n. 	limb, member of the body
templum -i n. 	consecrated ground; temple
servus -i m. 	slave
murus -i m. 	wall
exemplum -i n. 	example, sample, copy
odium -i n. 	hatred
auxilium -i n. 	support, assistance; (pl.) auxiliary forces
praesidium -i n. 	garrison, protection
vinculum -i n. 	bond, fetter, tie
officium -i n. 	service, duty
factum -i n. 	deed, accomplishment
pretium -i n. 	price, worth, reward; pretium operae: a reward for trouble
pontus -i m. 	the open sea, the deep
oppidum -i n. 	town
arvum -i n. 	ploughed land, field
vinum -i n. 	vine, wine
maritus -i m. 	husband
morbus -i m. 	sickness, disease
vulgus -i n. and m. 	the common people
praemium -i n. 	bounty, reward
supplicium -i n. 	punishment, penalty
astrum -i n. 	star; constellation
dolus -i m. 	artifice, device, trick
superi -orum m. pl. 	those above, i.e. the gods
otium -i n. 	leisure
vestigium -i n. 	footstep, footprint, track
gaudium -i n. 	delight, joy, pleasure
humus -i f. 	ground; humi: on the ground
iudicium -i n. 	judgment, decision, trial
barbarus -i m. 	foreigner, barbarian
saeculum -i n. 	generation, age, century
exsilium -i n. 	exile, banishment
tribunus -i m. 	tribune, title of various Roman officials, as militum, plebis, aerarii
forum -i n. 	market-place, forum
praeceptum -i n. 	rule, precept; command
negotium -i n. 	business
argentum -i n. 	silver, money
gladius -i m. 	sword
cibus -i m. 	food
initium -i n.: 	beginning
aevum -i n. 	eternity; lifetime, age
reus -i m. 	defendant
liber libri m. 	book
nuntius -i m. 	messenger; news
convivium -ii n. 	banquet, feast
damnum -i n. 	damage, injury
magister magistri m. 	master, chief
frumentum -i n. 	grain
principium -i n. 	beginning
sepulcrum -i n. 	place of burial, tomb, grave
