terra -ae f. 	land
vita -ae f. 	life
causa -ae f. 	cause, reason; causa + preceding genitive, for the sake of
fortuna -ae f. 	fortune
natura -ae f. 	nature
cura -ae f. 	care, concern
ira irae f. 	wrath, anger
via -ae f. 	way, street
unda -ae f. 	wave, flowing water, water
poena -ae f. 	penalty, punishment
puella -ae f. 	girl; girl-friend
silva -ae f. 	forest, grove
umbra -ae f. 	shade, shadow
aqua -ae f. 	water
fama -ae f. 	rumor, fame
flamma -ae f. 	flame, fire
turba -ae f. 	crowd, uproar
copia -ae f. 	abundance; (pl.) troops
patria -ae f. 	fatherland, country
lacrima -ae f. 	tear
gloria -ae f. 	glory, fame
fuga -ae f. 	flight, route
ara -ae f. 	altar
gratia -ae f. 	favor, influence, gratitude
iniuria -ae f.: 	injustice, wrong, affront
mora -ae f. 	delay, hindrance
coma -ae f. 	hair, tresses
aura -ae f. 	breeze
forma -ae f. 	shape; beauty
anima -ae f. 	breath, spirit
femina -ae f. 	woman
pecunia -ae f. 	money
sententia -ae f. 	opinion, judgment
provincia -ae f. 	province; official duty
praeda -ae f. 	booty, prey
memoria -ae f. 	recollection, memory
pugna -ae f. 	fist-fight; battle
ripa -ae f. 	bank of a river
hora -ae f. 	hour
amicitia -ae f. 	friendship
invidia -ae f. 	envy, jealousy, hatred
littera -ae f. 	letter, (pl.) literature
divitiae -arum f. pl. 	riches, wealth
lingua -ae f. 	tongue; language
mensa -ae f. 	table
victoria -ae f. 	victory
porta -ae f. 	gate
culpa -ae f. 	guilt, fault, blame
tenebrae -brarum f. pl. 	darkness, the shadows
sapientia -ae f. 	wisdom
opera -ae f. 	labor, activity, work
materia -ae f. 	material, subject matter; timber, lumber
luna -ae f. 	moon
insula -ae f.: 	island
filia -ae f.; filius -i m. 	daughter; son
poeta -ae m. 	poet
stella -ae f. 	star
familia -ae f. 	household, family
epistula -ae f. 	letter
fabula -ae f. 	account, tale, story
scientia -ae f. 	knowledge
disciplina -ae f. 	training, instruction; learning, discipline
