rex regis m. 	king
pars partis f. 	part
pater patris m. 	father, ancestor
corpus corporis n. 	body
urbs urbis f. 	city
homo hominis m. 	human being
tempus -oris n. 	time
hostis -is m./f. 	stranger, enemy
mors mortis f. 	death
virtus -utis f. 	valor, manliness, virtue
vis f. 	force; (acc.) vim, (abl.) vi; (pl.) vires, strength
amor -oris m. 	love
nox noctis f. 	night
caput capitis n. 	head
mare -is n. 	sea
mater matris f. 	mother
nomen -inis n. 	name
os oris n. 	mouth, face
ignis -is m. 	fire
scelus -eris n. 	crime, sin
miles -itis m. 	soldier
vox vocis f. 	voice, utterance
genus generis n. 	origin, lineage, kind
mens mentis f. 	mind
mos moris m. 	custom, habit; (pl.) character
pectus -oris n. 	chest, breast
parens -ntis m./f. 	parent
dolor -oris m. 	pain, grief
gens gentis f. 	family, clan
pes pedis m. 	foot
labor -oris m. 	toil, exertion
sanguis -inis m. 	blood
coniunx coniugis m./f. 	spouse, husband, wife
frater fratris m. 	brother
iter itineris n. 	journey, route
finis -is m. 	end, boundary
dux ducis m./f. 	leader, general
mons montis m. 	mountain
litus -oris n. 	shore
carmen -inis n. 	song
ratio -onis f. 	method, plan, reason
ars artis f. 	skill
lex legis f. 	law
munus muneris n. 	gift, offering; duty, obligation; (pl.) gladiatorial show
iuvenis -is m. 	youth
flumen -inis n. 	stream, river
honor -oris m. 	honor, glory; office, post
eques equitis m. 	horseman, knight
lux lucis f. 	light of day
aetas -tatis f. 	age, time of life
ius iuris n. 	right, justice, law
ops opis f. 	assistance, resources
sol solis m. 	sun
consul -ulis m. 	consul
orbis -is m. 	circle; orbis terrarum: world
vulnus -eris n. 	wound
opus operis n. 	work
tellus telluris f. 	earth
victor -oris m. 	conqueror
civitas -atis f. 	citizenship, state
navis -is f. 	ship
agmen -minis n. 	line of march
sidus -eris n. 	star, constellation
auris -is f. 	ear
legio -onis f. 	legion
lumen luminis n. 	light
voluptas -atis f. 	pleasure, enjoyment
latus -eris n. 	side, flank
pax pacis f. 	peace
sedes -is f. 	seat, abode, habitation
vestis -is f. 	garment, robe, clothing
caedes -is f. 	killing, slaughter
ordo -inis m. 	order, rank
virgo -inis f. 	maiden, virgin, girl
aequor aequoris n. 	level surface, sea, plain
laus laudis f. 	praise, glory
comes comitis m./f. 	companion, comrade; attendant, follower
numen -inis n. 	divine will, deity
sapiens -ntis 	wise; (as subst.) wise man, sage, philosopher
nemus nemoris n. 	grove, forest
furor -oris m. 	rage, fury
amnis -is m. 	river, torrent
arbor arboris f. 	tree
civis -is m./f. 	citizen
crimen -inis n. 	verdict, accusation
libertas -atis f. 	freedom
soror -oris f. 	sister
classis -is f. 	class, division, fleet
fax facis f. 	torch
limen liminis n. 	threshold
prex precis f. 	prayers, entreaties
funus funeris n. 	funeral; death; dead body
timor -oris m. 	fear
auctor -oris m. 	originator, founder
animal -alis n. 	a living being, an animal
decus decoris n. 	beauty, grace; ornament, glory, honor
salus -utis f. 	health, safety
uxor uxoris f. 	wife
senex -is m. 	old man, elder; senior, older
frons frontis f. 	forehead, brow; front
pecus -oris n. 	cattle, sheep
sermo -onis m. 	conversation, discourse
regio -onis f. 	boundary, region
moenia -ium n. pl. 	walls, fortifications
clamor -oris m. 	outcry, shout
pudor pudoris m. 	sense of shame, modesty, propriety
custos custodis m. 	guardian
pondus ponderis n. 	weight
arx arcis f. 	citadel, castle; summit
sors sortis f. 	lot, fate, destiny; oracle
facinus facinoris n. 	deed, crime
plebs plebis f. 	the common people
cohors cohortis f. 	cohort, band, troop
magnitudo -inis f. 	greatness, size
vates -is m. 	poet, bard
canis -is m./f. 	dog
os ossis n. 	bone
fons fontis m. 	spring, fountain
imperator -oris m. 	commander
color -oris m. 	color
multitudo -inis f. 	multitude, number
oratio -onis f. 	speech, address
potestas -atis f. 	power
testis -is m. 	witness
aes aeris n. 	copper, bronze
tempestas -tatis f. 	period of time, season; bad weather, storm
imago -inis f. 	image, form, figure
libido -inis f. 	passion, lust
maiores maiorum m. 	ancestors
pietas -tatis f. 	sense of duty, devotion, esp. between parents and children
cinis cineris m./f. 	ashes, embers
cor cordis n. 	heart; cordi est, it is pleasing to (+ dat.)
hiems hiemis f. 	winter
bos bovis m. 	ox; gen. pl. boum
flos floris m. 	flower, bloom
latus -a -um 	broad, wide
fames -is f. 	hunger, famine
error -oris m. 	wandering; error, mistake
iudex iudicis m. 	judge, juror
lapis lapidis m. 	stone
onus oneris n. 	load, burden
aer aeris m. 	air
aether aetheris n. 	pure upper air, ether, heaven, sky
avis -is f. 	bird
voluntas -atis f. 	wish, desire
hospes hospitis m. 	guest, guest-friend; stranger; host
praetor -oris m. 	praetor, one of the chief Roman magistrates
rus ruris n. 	country
auctoritas -atis f. 	influence, clout, authority
cupido -inis f. 	desire, eagerness, craving
necessitas -tatis f. 	necessity, need
condicio -onis f. 	agreement, condition
sacerdos -dotis m./f. 	priest, priestess
consuetudo -inis f. 	custom, habit
dignitas -atis f. 	worth, reputation, honor
mulier -eris f. 	woman
aedes -is f. 	building; (pl.) house
volucris -is f./m. 	bird
fors fortis f. 	chance
