necesse	necessary

quattuor	four
quinque	five
sex	six
septem	seven
octo	eight
novem	nine
decem	ten
undecim	eleven
duodecim	twelve
tredecim	thirteen
quattuordecim	fourteen
quindecim	fifteen
sedecim	sixteen
septendecim	seventeen
duodeviginti	eighteen
undeviginti	nineteen
viginti	twenty
triginta	thirty
quadraginta	forty
quinquaginta	fifty
sexaginta	sixty
septuaginta	seventy
octoginta	eighty
nonaginta	ninety
centum	hundred
mille	thousand

tricesimus	thirtieth
quadragesimus	fortieth
quinquagesimus	fiftieth
sexagesimus	sixtieth
septuagesimus	seventieth
octogesimus	eightieth
nonagesimus	ninetieth

duo, duae, duo	two
tres, tria	three
primus, –a, –um	first
secundus, –a, –um	second
tertius, –a, –um	third
quartus, –a, –um	fourth
quintus, –a, –um	fifth
sextus, –a, –um	sixth
septimus, –a, –um	seventh
octavus, –a, –um	eighth
nonus, –a, –um	nineth
decimus, –a, –um	tenth
undecimus, –a, –um	eleventh
duodecimus, –a, –um	twelfth
tertius decimus, –a, –um	thirteenth
quartus decimus, –a, –um	fourteenth
quintus decimus, –a, –um	fifteenth
sextus decimus, –a, –um	sixteenth
septimus decimus, –a, –um	seventeenth
duodevicesimus, –a, –um	eighteenth
undevicesimus, –a, –um	nineteenth
vicesimus, –a, –um	twentieth
